Club,Club Speed,Attack Angle,Club Path,Low Point,Swing Plane,Swing Direction,Dyn. Loft,Face Angle,Face To Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Spin Rate,Spin Axis,Max Height - Dist.,Max Height - Height,Max Height - Side,Last data Point - Length,Last data Point - Side,Last data Point - Height,Last data Point - Time,Carry Flat - Length,Carry Flat - Side,Carry Flat - Land. Angle,Carry Flat - Ball Speed,Carry Flat - Time,Total,Side Total,Curve
Driver,85.56505011,-3.435,4.33,4.488188976,54.153,1.844,47.674,-25.956,-30.286,75.44962419,0.8818,39.51,-18.374,7330.0,-16.095,166.1387641,81.41071877,-57.18879029,3.570631328,-1.147037872,2.93459112,0.1287112,85.44492021,-36.58889189,55.74059777,52.71418997,4.878233927,86.76448583,-37.19977413,-31.15232844
Driver,106.0688082,1.374,-3.823,-1.614173228,53.316,-2.798,19.693,0.347,4.169,146.2334467,1.3787,15.745,-0.603,5879.0,8.057,439.9097373,140.3094713,22.5811706,5.283585648,-0.043527552,1.549333685,0.0778752,208.9669569,17.39985197,53.68550911,63.91131716,7.31378,213.5544333,18.01758881,58.77134718
Driver,110.5404438,5.9,0.7,-7.440944882,48.639,5.942,15.442,0.007,-0.693,163.2062008,1.4765,14.411,0.124,2390.0,-6.223,551.6946848,125.823698,-16.86683444,5.821134022,0.004300504,1.510019889,0.076285,275.0779802,-14.01890671,43.66997417,65.8325579,7.396983,294.071158,-15.83272087,-43.84027751
Driver,72.5841088,-1.574,6.436,2.165354331,51.108,5.166,6.744,-3.474,-9.91,97.6615068,1.3455,5.338,-1.778,2130.0,-7.784,115.750906,5.993637183,-4.520922313,5.724422248,-0.184104407,0.506791442,0.121806,71.21373094,-3.302835594,7.516296648,73.48560655,1.739078,127.0543961,-6.79517424,-3.282229654
Driver,79.06451324,0.972,-7.762,-1.25984252,44.68,-6.78,22.438,6.143,13.905,107.5867931,1.3607,18.656,3.457,4847.95,21.587,284.389636,72.14904433,45.72876686,6.317768991,0.420127219,2.15221139,0.129402,149.6761601,34.26109211,41.09543197,54.22267388,5.3041,161.9794284,38.66758608,76.23896632
Driver,94.87741589,-2.781,-1.021,3.622047244,52.997,-3.118,7.905,2.566,3.587,133.7464209,1.4097,5.162,1.637,3844.14,15.917,344.0288984,33.3204722,39.1578154,181.2656459,30.587489,-3.362716581,4.56956,173.8865721,28.28333404,22.78992904,62.11338166,4.29956,205.9305119,38.03475494,70.11149155
Driver,94.82372942,2.1,-5.1,-2.952755906,46.69,-3.088,17.594,1.137,6.237,136.5144059,1.4397,15.376,0.26,3300.0,13.157,426.17918,100.1904187,31.29731708,5.69735357,0.032254993,1.581944016,0.08985,214.933384,25.2636912,43.01031108,60.1562672,6.542422,231.5741975,28.7532579,72.8845763
Driver,110.8938797,-2.279,-1.626,2.874015748,47.981,-3.681,5.038,-4.99,-3.364,162.3915086,1.4644,3.962,-4.493,1909.08,-23.736,315.0210794,14.15819421,-47.19027661,173.5289741,-33.95957694,-0.426399002,3.102,171.0333758,-33.19886884,9.398477944,87.13064146,3.042,233.0345115,-52.42084549,-59.86015576
Driver,98.27084825,3.9,12.3,-4.527559055,54.755,14.979,15.032,1.33,-10.97,139.8539281,1.4232,13.489,2.98,3020.0,-36.568,392.749466,68.34913196,-35.71773748,5.762739374,0.26815711,1.383719561,0.087801,207.5274999,-41.18490579,32.09883579,61.89854041,5.421934,233.9922505,-53.83020597,-155.1102943
Driver,120.1413744,1.236,0.414,-1.771653543,41.165,1.828,13.02,0.285,-0.129,172.953427,1.4396,11.443,0.303,2710.0,-3.696,602.0885878,120.8971768,-9.012021229,6.009777478,0.028846652,1.233223958,0.07339201,295.2627649,-8.010756257,41.97981742,65.57023773,7.526291413,315.6231005,-9.156528181,-28.71454296
